poi,path,shootingDate,shooter,description,note,fid,mid_thumbnail,small_thumbnail
"564",./images/564/PXL_20210620_072821898.jpg,2021/06/20 16:28:21,Shooter not reported - must update,龍福寺六地蔵尊,,"364",./mid_thumbs/564/PXL_20210620_072821898.jpg,./small_thumbs/564/PXL_20210620_072821898.jpg
"571",./images/571/PXL_20210620_065617147.jpg,2021/06/20 15:56:17,Shooter not reported - must update,野辺龍福寺舟型馬頭尊,,"365",./mid_thumbs/571/PXL_20210620_065617147.jpg,./small_thumbs/571/PXL_20210620_065617147.jpg
"582",./images/582/PXL_20210620_045034644.PORTRAIT.jpg,2021/06/20 13:50:34,Shooter not reported - must update,雷光寺安政道標馬頭尊,,"366",./mid_thumbs/582/PXL_20210620_045034644.PORTRAIT.jpg,./small_thumbs/582/PXL_20210620_045034644.PORTRAIT.jpg
"604",./images/604/PXL_20210620_061449950.jpg,2021/06/20 15:14:49,Shooter not reported - must update,羽沼鞍之丞碑型馬頭尊,,"367",./mid_thumbs/604/PXL_20210620_061449950.jpg,./small_thumbs/604/PXL_20210620_061449950.jpg
"604",./images/604/PXL_20210620_061456999.jpg,2021/06/20 15:14:56,Shooter not reported - must update,羽沼鞍之丞碑型馬頭尊,,"368",./mid_thumbs/604/PXL_20210620_061456999.jpg,./small_thumbs/604/PXL_20210620_061456999.jpg
"1827",./images/1827/PXL_20210620_065532547.jpg,2021/06/20 15:55:32,Shooter not reported - must update,不明,,"369",./mid_thumbs/1827/prim_PXL_20210620_065532547.jpg,./small_thumbs/1827/prim_PXL_20210620_065532547.jpg
"1827",./images/1827/PXL_20210620_065541640.jpg,2021/06/20 15:55:41,Shooter not reported - must update,不明,,"370",./mid_thumbs/1827/PXL_20210620_065541640.jpg,./small_thumbs/1827/PXL_20210620_065541640.jpg
"1827",./images/1827/PXL_20210620_065552522.jpg,2021/06/20 15:55:52,Shooter not reported - must update,不明,,"371",./mid_thumbs/1827/PXL_20210620_065552522.jpg,./small_thumbs/1827/PXL_20210620_065552522.jpg
"667",./images/667/PXL_20210620_065759958.MP.jpg,2021/06/20 15:57:59,Shooter not reported - must update,龍福寺野辺庚申,,"372",./mid_thumbs/667/PRIM_PXL_20210620_065759958.MP.jpg,./small_thumbs/667/PRIM_PXL_20210620_065759958.MP.jpg
"667",./images/667/PXL_20210620_071510585.jpg,2021/06/20 16:15:10,Shooter not reported - must update,龍福寺野辺庚申,,"373",./mid_thumbs/667/PXL_20210620_071510585.jpg,./small_thumbs/667/PXL_20210620_071510585.jpg
"673",./images/673/PXL_20210620_065559365.jpg,2021/06/20 15:55:59,Shooter not reported - must update,龍福寺萬延野辺庚申,,"374",./mid_thumbs/673/PRIM_PXL_20210620_065559365.jpg,./small_thumbs/673/PRIM_PXL_20210620_065559365.jpg
"673",./images/673/PXL_20210620_065605236.jpg,2021/06/20 15:56:05,Shooter not reported - must update,龍福寺萬延野辺庚申,,"375",./mid_thumbs/673/PXL_20210620_065605236.jpg,./small_thumbs/673/PXL_20210620_065605236.jpg
"694",./images/694/PXL_20210620_065351053.jpg,2021/06/20 15:53:51,Kohei Otsuka,龍福寺享保宝篋印塔,,"376",./mid_thumbs/694/PXL_20210620_065351053.jpg,./small_thumbs/694/PXL_20210620_065351053.jpg
"694",./images/694/PXL_20210620_065400583.jpg,2021/06/20 15:54:00,Kohei Otsuka,龍福寺享保宝篋印塔,,"377",./mid_thumbs/694/PXL_20210620_065400583.jpg,./small_thumbs/694/PXL_20210620_065400583.jpg
